fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
0.24778761061946908,0.39726027397260266,0.0,0.0684931506849315,0.10684474123539231,0.1492537313432836,0.0989399293286219,0.567547723935391,0.606299212598425,0.13772455089820365,0.15384615384615397,0,0
0.2831858407079646,0.5205479452054794,0.0,0.11643835616438356,0.14357262103505844,0.3582089552238806,0.215547703180212,0.4941262848751933,0.3622047244094486,0.2095808383233533,0.2153846153846155,0,1
0.2831858407079646,0.4383561643835616,0.04,0.0958904109589041,0.1335559265442404,0.20895522388059704,0.16961130742049468,0.5088105726872243,0.4094488188976375,0.1916167664670659,0.2153846153846155,0,2
0.5840707964601769,0.10958904109589043,0.56,0.0684931506849315,0.10517529215358931,0.23880597014925375,0.19081272084805656,0.5822320117474362,0.3307086614173227,0.1497005988023952,0.2153846153846155,0,3
0.24778761061946908,0.39726027397260266,0.0,0.0684931506849315,0.10684474123539231,0.1492537313432836,0.0989399293286219,0.567547723935391,0.606299212598425,0.13772455089820365,0.15384615384615397,0,4
0.24778761061946908,0.3698630136986301,0.0,0.06164383561643835,0.10517529215358931,0.17910447761194032,0.12014134275618375,0.567547723935391,0.606299212598425,0.13772455089820365,0.15384615384615397,0,5
0.2920353982300885,0.3287671232876712,0.06,0.04794520547945205,0.0951585976627713,0.20895522388059704,0.1872791519434629,0.4647577092511028,0.44094488188976344,0.07784431137724554,0.15384615384615397,0,6
0.23893805309734517,0.363013698630137,0.0,0.02054794520547945,0.08848080133555926,0.20895522388059704,0.053003533568904596,0.3325991189427384,0.5118110236220472,0.08383233532934128,0.24615384615384617,1,7
0.2831858407079646,0.3150684931506849,0.02,0.07534246575342465,0.10183639398998329,0.11940298507462686,0.04240282685512367,0.4941262848751933,0.48818897637795233,0.1437125748502994,0.1692307692307693,1,8
0.18584070796460184,0.3150684931506849,0.08,0.06164383561643835,0.14190317195325527,0.20895522388059704,0.20848056537102472,0.42804698972099686,0.4251968503937005,0.125748502994012,0.12307692307692308,0,10
0.08849557522123891,0.3390410958904109,0.0,0.04794520547945205,0.12854757929883137,0.22388059701492538,0.1872791519434629,0.31057268722466347,0.6614173228346458,0.1137724550898204,0.23076923076923084,0,12
0.2831858407079646,0.33561643835616434,0.29,0.04794520547945205,0.17028380634390652,0.11940298507462686,0.0812720848056537,0.5381791483113005,0.4094488188976375,0.7365269461077846,0.10769230769230775,0,13
0.34513274336283184,0.10958904109589043,0.56,0.06164383561643835,0.1335559265442404,0.5074626865671641,0.34275618374558303,0.5014684287812088,0.44094488188976344,0.25149700598802394,0.32307692307692304,1,16
0.2920353982300885,0.136986301369863,0.51,0.06164383561643835,0.5492487479131887,0.23880597014925375,0.17667844522968196,0.5014684287812088,0.23622047244094446,0.4491017964071857,0.12307692307692308,0,19
0.2654867256637168,0.18493150684931509,0.31,0.0958904109589041,0.11686143572621019,0.3283582089552239,0.2296819787985866,0.5969162995594672,0.6141732283464565,0.1916167664670659,0.19999999999999996,0,21
0.2920353982300885,0.21232876712328763,0.21,0.04794520547945205,0.15692821368948245,0.13432835820895522,0.10954063604240281,0.47944199706314805,0.3385826771653542,0.34730538922155696,0.1692307692307693,0,22
0.34513274336283184,0.25342465753424653,0.11,0.0958904109589041,0.12020033388981635,0.11940298507462686,0.215547703180212,0.4941262848751933,0.3385826771653542,0.1197604790419162,0.15384615384615397,0,23
0.20353982300884965,0.1917808219178082,0.14,0.10273972602739725,0.12186978297161938,0.2985074626865672,0.12014134275618375,0.4941262848751933,0.5433070866141732,0.17964071856287425,0.19999999999999996,0,24
0.1504424778761062,0.18493150684931509,0.16,0.03424657534246575,0.11352253756260433,0.1492537313432836,0.06007067137809187,0.3986784140969206,0.47244094488188937,0.13772455089820365,0.13846153846153864,0,25
